"STATION","NAME","DATE","PRCP","SN53","SNOW","SX53","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USC00412121","CROSBYTON, TX US","2008-09-11","1.83",,"0.0",,"68","59",,,,,,,,,,,,,,,,,,,,,
"USC00412121","CROSBYTON, TX US","2008-09-12","5.75",,"0.0",,"74","62",,,,,,,,,,,,,,,,,,,,,
"USC00412121","CROSBYTON, TX US","2008-09-13","0.82",,"0.0",,"79","66",,,,,,,,,,,,,,,,,,,,,
"USC00412121","CROSBYTON, TX US","2008-09-14","0.00",,"0.0",,"81","61",,,,,,,,,,,,,,,,,,,,,
"USC00412121","CROSBYTON, TX US","2008-09-15","0.00",,"0.0",,"75","52",,,,,,,,,,,,,,,,,,,,,
"USC00412121","CROSBYTON, TX US","2008-09-16","0.00",,"0.0",,"73","52",,,,,,,,,,,,,,,,,,,,,
"USC00412121","CROSBYTON, TX US","2008-09-17","0.00",,"0.0",,"79","54",,,,,,,,,,,,,,,,,,,,,
"USC00412121","CROSBYTON, TX US","2008-09-18","0.00",,"0.0",,"80","53",,,,,,,,,,,,,,,,,,,,,
"USC00412121","CROSBYTON, TX US","2008-09-19","0.00",,"0.0",,"79","53",,,,,,,,,,,,,,,,,,,,,
"USC00412121","CROSBYTON, TX US","2008-09-20","0.00",,"0.0",,"81","52",,,,,,,,,,,,,,,,,,,,,
"USC00412121","CROSBYTON, TX US","2008-09-21","0.00",,"0.0",,"82","57",,,,,,,,,,,,,,,,,,,,,
"USC00412121","CROSBYTON, TX US","2008-09-22","0.00",,"0.0",,"82","56",,,,,,,,,,,,,,,,,,,,,
"USC00412121","CROSBYTON, TX US","2008-09-23","0.00",,"0.0",,"83","58",,,,,,,,,,,,,,,,,,,,,
"USC00412121","CROSBYTON, TX US","2008-09-24","0.00",,"0.0",,"84","57",,,,,,,,,,,,,,,,,,,,,
