"STATION","NAME","DATE","ACSH","PRCP","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-01-01","   20","0.00","55","25",,"    1",,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-01-02","  100","0.00","52","28",,"    1","    1",,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-01-03","   90","0.01","42","22",,"    1","    1",,,,"    1",,,,,,,,,"    1",,"    1",,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-01-04","   90","0.00","37","21",,"    1","    1",,,,"    1",,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-01-05","   60","0.00","55","30",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-01-06","   90","0.00","36","9",,"    1",,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-01-07","  100","0.00","22","6",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-01-08","   60","0.00","43","18",,,,,"    1",,"    1",,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-01-09","  100","0.00","29","17",,"    1","    1",,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-01-10","  100","0.00","44","22",,"    1","    1",,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-01-11","   10","0.00","62","29",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-01-12","    0","0.00","42","17",,,,,,,,,,,,,,,,,,"    1",,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-01-13","    0","0.00","51","13",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-01-14","   20","0.00","65","17",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-01-15","   60","0.00","55","27",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-01-16","    0","0.00","58","19",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-01-17","  100","0.00","60","41",,"    1",,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-01-18","  100","0.00","46","32",,,,,,,,,,"    1",,,,,,,,"    1",,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-01-19","  100","0.02","45","30",,"    1",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-01-20","  100","0.37","46","38",,"    1","    1",,,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-01-21","  100","0.33","45","41",,"    1","    1",,,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-01-22","  100","0.21","44","41",,"    1",,,,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-01-23","   10","0.00","50","32",,,,,,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-01-24","   90","0.00","66","32",,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1968-01-25","   30","0.00","71","34",,,,,,,,,,,,,,,,,,,,,
